name,link
W004846397,https://www.wayfair.com/furniture/pdp/mercury-row-ardmore-285-wide-tufted-polyester-armchair-w004846397.html
W006110320,https://www.wayfair.com/baby-kids/pdp/mercury-row-teen-wolfe-3071-convertible-chair-w006110320.html
W004750763,https://www.wayfair.com/furniture/pdp/corrigan-studio-aleksandra-248-wide-polyester-armchair-w004750763.html
W003450389,https://www.wayfair.com/furniture/pdp/latitude-run-27-wide-armchair-and-ottoman-w003450389.html
W004269031,https://www.wayfair.com/furniture/pdp/george-oliver-biggerstaff-30-wide-polyester-armchair-w004269031.html
W001080116,https://www.wayfair.com/furniture/pdp/world-menagerie-orndorff-44-wide-tufted-papasan-chair-w001080116.html
W004379693,https://www.wayfair.com/furniture/pdp/wrought-studio-2835-wide-tufted-slipper-chair-w004379693.html
W005271149,https://www.wayfair.com/furniture/pdp/andover-mills-krantz-25-wide-polyester-armchair-w005271149.html
W003390219,https://www.wayfair.com/furniture/pdp/bayou-breeze-bowerman-28-wide-polyester-armchair-w003390219.html
W005543659,https://www.wayfair.com/furniture/pdp/mercer41-aariyona-velvet-accent-chair-w005543659.html
W005933545,https://www.wayfair.com/furniture/pdp/wade-logan-newnan-265-wide-polyester-lounge-chair-w005933545.html
W004846397,https://www.wayfair.com/furniture/pdp/mercury-row-ardmore-285-wide-tufted-polyester-armchair-w004846397.html
W005322098,https://www.wayfair.com/furniture/pdp/trule-folding-lazy-chair-with-cushion-and-metal-frame-w005322098.html?categoryid=416225&placement=7&slot=0&sponsoredid=b269d2ac8a04827bd98dc380dfd9d8dda0250b5fd5488065fde6da92f782f36b&_txid=I%2FcmXGEsWCOqsmoz7INqAg%3D%3D&isB2b=0&auctionId=7a00e740-0d80-47bd-ac4f-d4c503d6b1fa
PBWQ1004,https://www.wayfair.com/furniture/pdp/osp-designs-40-wide-tufted-polyester-swivel-papasan-chair-pbwq1004.html
W004751572,https://www.wayfair.com/furniture/pdp/lark-manor-7493cm-wide-polyester-armchair-w004751572.html
W004694216,https://www.wayfair.com/furniture/pdp/rosdorf-park-dahlonega-429-wide-tufted-swivel-barrel-chair-w004694216.html
W005063412,https://www.wayfair.com/furniture/pdp/ivo-30-wide-tufted-linen-wingback-chair-w005063412.html
W000684192,https://www.wayfair.com/furniture/pdp/wade-logan-haefner-7366cm-wide-velvet-armchair-w000684192.html
W003412122,https://www.wayfair.com/furniture/pdp/red-barrel-studio-cassye-29-wide-polyester-wingback-chair-w003412122.html?categoryid=416225&placement=7&slot=1&sponsoredid=8e464b0315e219f2ef68ad2f7d2d5e89b0223b169069e4864a5c9918e673e7a2&_txid=I%2FcmXGEsWCOqsmoz7INqAg%3D%3D&isB2b=0&auctionId=7a00e740-0d80-47bd-ac4f-d4c503d6b1fa
W004378154,https://www.wayfair.com/furniture/pdp/red-barrel-studio-biranna-315-wide-tufted-velvet-lounge-chair-w004378154.html
W003921617,https://www.wayfair.com/furniture/pdp/rosdorf-park-starks-2825-w-tufted-polyester-chesterfield-chair-and-ottoman-w003921617.html
W005929730,https://www.wayfair.com/furniture/pdp/brayden-studio-twinar-68cm-wide-lounge-chair-w005929730.html
W001080116,https://www.wayfair.com/furniture/pdp/world-menagerie-orndorff-44-wide-tufted-papasan-chair-w001080116.html
W004459331,https://www.wayfair.com/furniture/pdp/willa-arlo-interiors-ains-295-wide-tufted-velvet-wingback-chair-w004459331.html
W005201844,https://www.wayfair.com/furniture/pdp/wade-logan-lazo-2525-w-side-chair-w005201844.html?categoryid=416225&placement=7&slot=2&sponsoredid=0aef13493e1bde46ee502fc5dd0e5ee961c5490b19464dc4adcad1e92039f5ec&_txid=I%2FcmXGEsWCOqsmoz7INqAg%3D%3D&isB2b=0&auctionId=7a00e740-0d80-47bd-ac4f-d4c503d6b1fa
W004655335,https://www.wayfair.com/furniture/pdp/zipcode-design-liam-barrel-chair-w004655335.html
W005026164,https://www.wayfair.com/furniture/pdp/willa-arlo-interiors-truman-274-w-tufted-velvet-armchair-w005026164.html
W005404730,https://www.wayfair.com/furniture/pdp/zipcode-design-donham-polyester-lounge-chair-w005404730.html
